Scrip Code,Scrip Name,Scrip Group,Open,High ,Low,LTP,No. of Shares Traded ,Total Turnover  (<img src='../../../include/images/rs.gif' alt='my image' /> Lac),No. of Trades,index code
532540,TCS,A,2480,2483,2451,2454,83145,2045,1760,
500112,SBIN,A,2610,2614.3,2577,2580,66634,1729,2779,
500510,LT,A,1530.2,1545,1525,1537.05,76816,1179,3332,
500325,RELIANCE,A,936.7,947,933.65,942.8,114458,1078,3232,
500182,HEROMOTOCO,A,3025,3113.5,3025,3104.25,30457,937,2475,
500103,BHEL,A,240,243.9,238,242.5,329031,793,3707,
500570,TATAMOTORS,A,508.1,515.15,508.1,514.5,136628,699,2799,
500470,TATASTEEL,A,460,462.6,458.05,459,148632,684,3337,
500312,ONGC,A,411,411.5,401.6,403.65,145041,587,2860,
500209,INFY,A,3801.1,3810.75,3780,3786.7,14437,547,1042,
532174,ICICIBANK,A,1590,1595,1572.55,1575.15,31460,496,1422,
532500,MARUTI,A,3080,3135,3080,3128.45,12428,387,998,
500180,HDFCBANK,A,901,904.75,896.2,900,42058,378,835,
532215,AXISBANK,A,426,427.75,422.25,423.35,88696,377,1612,
500087,CIPLA,A,603.35,622,603.35,618.6,56277,347,1251,
507685,WIPRO,A,583,583.5,577.3,580.8,53272,308,1277,
500440,HINDALCO,A,149.9,150.95,148.3,148.5,197846,296,1641,
500520,M&M,A,1245,1245.2,1232,1238.85,23406,290,960,
500010,HDFC,A,1030,1035,1020.05,1022,27235,279,1140,
532977,BAJAJ-AUTO,A,2433.2,2470,2433.1,2468,10916,267,601,
532155,GAIL,A,484,488.25,478.55,481,43536,210,1373,
533278,COALINDIA,A,355.55,357,351.9,353.25,57270,202,1160,
500295,SSLT,A,250.5,252.6,248.5,250.2,74039,185,1058,
524715,SUNPHARMA,A,801,807.75,798.1,807.45,22765,183,651,
500124,DRREDDY,A,2994,3038,2990,3020.55,5746,173,479,
500875,ITC,A,352,352.7,350.3,351.6,33429,117,416,
532555,NTPC,A,147.95,148.95,147.75,147.9,71181,105,660,
532454,BHARTIARTL,A,411.8,414.7,411.8,413.85,24534,101,458,
500696,HINDUNILVR,A,753,756.95,749.15,753,10791,81.23,274,
500400,TATAPOWER,A,88.6,88.85,87.1,87.55,83221,73.07,477,
